rackId;hostname;hardware;ipRede;tipo;posicaoRack;sistOper;oQueRoda;apelido;patrimonio;serial;cpu;ram;armazenamento;isVirtualizado;hostFisicoHostname;tamanhoU
;SRV-PROD-01;Dell R740;192.168.1.10;SERVIDOR_FISICO;1;Proxmox;Docker;Hypervisor 1;PAT001;SN123;Xeon;128GB;2TB;false;;2
;VM-WEB-01;Virtual;192.168.1.11;SERVIDOR_VIRTUAL;;Ubuntu;Nginx;Web Server;PAT002;SN456;4vCPU;16GB;500GB;true;SRV-PROD-01;0
;SRV-BACKUP;HP DL380;192.168.1.20;SERVIDOR_FISICO;5;Debian;Veeam;Backup Server;PAT005;SN999;Xeon Gold;64GB;10TB;false;;2
;VM-APP-01;Virtual;192.168.1.21;SERVIDOR_VIRTUAL;;Ubuntu;NodeJS;API Prod;PAT006;SN111;2vCPU;8GB;100GB;true;SRV-BACKUP;0
;SW-CORE-01;Cisco Catalyst;192.168.1.1;SWITCH;40;;;;PAT004;SN000;;;;false;;1
;NAS-STORAGE;TrueNAS Core;192.168.1.5;STORAGE;10;FreeBSD;ZFS;Storage Central;PAT009;SN444;Atom;32GB;20TB;false;;4
;RT-BORDA-01;MikroTik CCR;192.168.1.254;ROTEADOR;42;RouterOS;BGP/NAT;Gateway;PAT010;SN555;;;;false;;1
;LAPTOP-FIN-05;Dell Latitude;192.168.1.50;LAPTOP;;Windows 11;Office;Note Francisco;PAT003;SN789;i7;16GB;512GB;false;;0
;DESKTOP-RH-01;HP ProDesk;192.168.1.60;DESKTOP;;Windows 10;ERP;PC Recrutamento;PAT008;SN333;i5;8GB;240GB;false;;0
;MONITOR-TI-01;Samsung 24;192.168.1.100;MONITOR;;;;Monitor Suporte;PAT007;SN222;;;;false;;0
