nome;sigla;descricao;categoria;criticidade;businessOwner;responsavelTecnico;contatoFuncional;fornecedor;janelaOperacao;backupInfo;procedimentoRecup;pontoUnicoFalha;tecnologiaPrincipal;databaseInfo;integracoes
Sistema Financeiro;FIN;Controle financeiro corporativo;ADMINISTRATIVO;CRITICA;Carlos Souza;Fernanda Lima;financeiro@empresa.com;TOTVS;24x7;Backup diário às 02h;Restore via Veeam;Banco principal;Java Spring;PostgreSQL Cluster;ERP|Banco Central API
Portal RH;RHWEB;Portal interno de recursos humanos;ADMINISTRATIVO;ALTA;Mariana Alves;João Pedro;rh@empresa.com;Senior;06h-22h;Backup diário às 01h;Snapshot VMware;Servidor web;React + Node.js;MySQL;AD|Folha Pagamento
Monitoramento Infra;MONINFRA;Monitoramento de servidores e racks;OPERACIONAL;CRITICA;Equipe NOC;Lucas Rocha;noc@empresa.com;Zabbix LLC;24x7;Backup semanal;Restore container;Servidor Zabbix;Zabbix;PostgreSQL;SNMP|Grafana
Sistema de Chamados;HELP;Gestão de tickets e suporte;OPERACIONAL;MEDIA;Equipe Service Desk;Paulo Mendes;suporte@empresa.com;GLPI Network;24x7;Backup diário;Restore manual;Aplicação única;GLPI;MariaDB;LDAP|Email SMTP
API Gateway;APIGW;Gateway central de APIs;OPERACIONAL;ALTA;Time Integração;Ricardo Dias;api@empresa.com;Kong Inc;24x7;Backup contínuo;Deploy automatizado;Gateway central;Kong Gateway;PostgreSQL;OAuth|ERP|CRM
Portal do Cliente;CLIENTE;Área externa para clientes;ADMINISTRATIVO;ALTA;Patrícia Gomes;Amanda Reis;clientes@empresa.com;Interno;24x7;Backup diário;Rollback via CI/CD;Load Balancer;Next.js;MongoDB;CRM|Pagamentos
Backup Manager;BKP;Gerenciamento de backups;OPERACIONAL;CRITICA;Equipe Backup;Diego Martins;backup@empresa.com;Veeam;24x7;Replicação contínua;Failover DR;Storage principal;Veeam;SQL Server;Storage|Hypervisor
Controle de Estoque;ESTOQUE;Controle de ativos e almoxarifado;ADMINISTRATIVO;MEDIA;Roberto Lima;Juliana Castro;estoque@empresa.com;Interno;08h-18h;Backup diário;Restore manual;Servidor local;Laravel;MySQL;Compras|ERP
CRM Comercial;CRM;Gestão de relacionamento com clientes;ADMINISTRATIVO;ALTA;Marcelo Prado;Camila Rocha;comercial@empresa.com;Salesforce;24x7;Backup cloud;Restore fornecedor;Tenant cloud;Salesforce;Cloud DB;ERP|Email
Sistema BI;BI;Dashboards executivos e analytics;ADMINISTRATIVO;ALTA;Diretoria BI;Felipe Costa;bi@empresa.com;Power BI;06h-23h;Backup incremental;Reprocessamento ETL;ETL central;Python + Power BI;SQL Server DW;ERP|CRM|Financeiro
E-mail Corporativo;MAIL;Serviço de correio eletrônico;OPERACIONAL;CRITICA;TI Operações;Marcos Silva;ti@empresa.com;Microsoft;24x7;Retenção 30 dias;Restore via Admin Center;MX Records;Exchange;Azure DB;AD|SpamFilter
Autenticação Central;SSO;Serviço de Single Sign-On;OPERACIONAL;CRITICA;Segurança;Ana Paula;seguranca@empresa.com;Okta;24x7;Replicação Global;Sync automático;IdP Central;OIDC/SAML;NoSQL;Todas Aplicações
